File Path,Last Line
h100c101,1752.7070754824072 0
h100c102,482.4694645853496 0
h100c103,483.07143184942936 0
h100c104,478.1206358703631 0
h100c105,1500.8946024575948 0
h100c106,1435.376387610397 0
h100c107,1355.8035080089169 0
h100c108,1565.2836368153667 0
h100c109,887.0445941524365 0
h100c201,1722.5340348417476 0
h100c202,521.9690836637685 0
h100c203,505.60404440721067 0
h100c204,526.8794094507621 0
h100c205,1626.849083668445 0
h100c206,913.1997378145307 0
h100c207,1068.9297515062044 0
h100c208,892.5778431995316 0
h100r101,1841.2680314718195 0
h100r102,818.5077115176578 0
h100r103,535.626600856224 0
h100r104,535.7174804822771 0
h100r105,1441.3372681824837 0
h100r106,749.4016519461973 0
h100r107,542.6508461900943 0
h100r108,531.6295931309552 0
h100r109,1420.4700610432699 0
h100r110,1414.8980401008132 0
h100r111,1267.5500700253954 0
h100r112,764.398971957565 0
h100r201,1540.1149439600676 0
h100r202,697.1575562739679 0
h100r203,527.7870605959645 0
h100r204,547.6064339964737 0
h100r205,941.0449456668764 0
h100r206,749.3834119529736 0
h100r207,532.385717187828 0
h100r208,534.1808612898204 0
h100r209,964.1183235103259 0
h100r210,934.0056362253744 0
h100r211,895.9869680907593 0
h100rc101,1547.838795141824 0
h100rc102,636.989609271124 0
h100rc103,630.5570300367112 0
h100rc104,648.0817679169048 0
h100rc105,1588.468215264236 0
h100rc106,1823.0719109250074 0
h100rc107,1282.9180464741921 0
h100rc108,1004.4739726597155 0
h100rc201,2060.251421757055 0
h100rc202,647.296353697971 0
h100rc203,649.7401371832948 0
h100rc204,654.291878103817 0
h100rc205,1646.2742840157978 0
h100rc206,1504.3343886878336 0
h100rc207,1363.712430524811 0
h100rc208,1070.6215621218294 0
